Q.No,Question,OPT A,OPT B,OPT C,OPT D,CA,Domain,Class
420,"Consider the following Statements A) State Legislature has the power to reject the changes brought in its area, name and boundaries by the Union Parliament of India. B) Parliament of India is bound to follow the suggestions of the State Legislature in the matters related to the state boundaries. Which of the following is/are correct?",Only 1 is correct,Only 2 is correct,Both are Correct,Both are incorrect,Both are incorrect,cur,hard
421,The Election Commission coordinates with which Ministry for conducting the elections?,Home Ministry,Ministry of Law and Justice,Ministry of Finance,Ministry of Personnel,Ministry of Law and Justice,cur,hard
422,The Ministry of Personnel is under the charge of the following,Home Minister,Finance Minister,Prime Minister,Defence Minister,Prime Minister,cur,hard
423,International Anti-Corruption Day was observed on _____,5-Dec-15,6-Dec-15,10-Dec-15,9-Dec-15,9-Dec-15,cur,very hard
424,Which government has announced vehicle rationing scheme to curb air pollution?,Kerala,Karanataka,Maharashtra,Delhi,Delhi,cur,very hard
425,Which bank has announced to mobilize 5 billion US dollars for climate action by 2020 on 8 Dec 2015?,Axis Bank,Yes Bank,ICICI Bank,HDFC Bank,Yes Bank,cur,very hard
426,_____ became the first Indian company to receive DGCI�s approval for hepatitis C drug.,Hetero Drugs,Pharmax International,Arvee International,Smart Avionics,Hetero Drugs,cur,very hard
427,Which country has announced that it will permanently station a military unit in the Arctic by 2018?,Germany,France,Russia,Brazil,Russia,cur,very hard
428,Name the two countries who has signed Strategic Inverstment Agreements for building three nuclear plants.,Brazil and Germany,China and India,Russia and China,Britain and China,Britain and China,cur,very hard
429,First World Indigenous Games began in Brazil on ____,22-Oct-15,23-Oct-15,25-Oct-15,15-Sep-15,23-Oct-15,cur,very hard
430,Who has been awarded with 2015 Confucius Peace Prize?,Robert Mugabe,Juan Manuel Santos,Sergio Mattarella,Uhuru Kenyatta,Robert Mugabe,cur,very hard
431,Name the two countries who has signed an agreement to set up CESDT in Myanmar.,India and China,India and Germany,India and Russia,India and Myanmar,India and Myanmar,cur,very hard
432,48th ASEAN Foreign Ministers'� meet was held in ______.,"Kuala Lumpur, Malaysia","Tokyo, Japan","Berlin, Germany",none,"Kuala Lumpur, Malaysia",cur,very hard
433,61st Commonwealth Parliamentary Conference to be held in ______.,Karnataka,Hyderabad,Islamabad,Mumbai,Islamabad,cur,very hard
434,The first Indian city to join World Tourism Cities Federation Council is _____.,Bangalore,Kochi,Hyderabad,New Delhi,Kochi,cur,very hard
435,International Day of the World's Indigenous Peoples observed on _____.,10-Aug-15,5-Aug-15,9-Aug-15,15-Aug-15,9-Aug-15,cur,very hard
436,_____ became the first Airport to run on solar power.,Cochin International Airport,Indira Gandhi International Airport,Goa International Airport,Kempegowda International Airport,Cochin International Airport,cur,very hard
437,____ appointed as CMD of Air India Limited.,Rohit Nandan,Ashwani Lohani,Arvind Jadhav,none,Ashwani Lohani,cur,very hard
438,Which inscription of Ashoka gives an account of Kalinga War ?,Jaugada Rock Inscription,Dhauli Rock Inscription,Rummindei Pillar Inscription,Shahbajgarhi Rock Edict,Shahbajgarhi Rock Edict,cur,very hard
439,To whom Asoka donated in the region of Barabar Hill?,Buddhists,Ajivikas,Jains,None of the above,Ajivikas,cur,very hard
440,Who was the priest of the Bharatas in the battle of Ten Kings in Vedic Age?,Visvamitra,Vasishtha,Atri,All of the above,Vasishtha,cur,very hard
441,Which of following statement is/are correct about the Hsuan Tsang ?,He was Chinese Pilgrim,He visited during the reign of Harsha,He came to study in Buddhist Nalanda University,All of the above,All of the above,cur,very hard
442,Which of following statement is / are correct about the Non-Cooperation Movement?,"Rowlatt Act , Jallianwala Bagh massacre and other forms of oppression were main reasons behind this movement",It attracted the masses,Chaura-Chauri incident was responsible for withdrawal of this movement.,All of the above,All of the above,cur,very hard
443,What is the meaning of Kalayanmandapas with reference to the Vijayanagar Art and Culture?,It was Marriage hall within the temple complex,It was name of God,It was residential palace for nobles,none of the above,It was Marriage hall within the temple complex,cur,very hard
444,Which of following statement is incorrect about the �Tuzak-i-Babari �or Babarnamah?,It was written by the Babar himself,It was written in Turkish lanugage,It was written by Sheikh Mirza,It was memoir,it was written by Sheikh Mirza,cur,very hard
445,Which of following statement is correct about the religious policies of Akbar?,Akbar banned the forced conversion,Akbar abolished pilgrim tax on Hindu,Jazia tax was abolished,All of the above,All of the above,cur,very hard
446,"Which of the following is/are the principal features(s) of the Government of India Act, 1919? 1) Introduction of diarchy in the executive government of the provinces 2) Introduction of separate electorates for Muslims 3) Devolution of legislative authority by the centre to the provinces Select the correct answer using the codes given below:",Only 1,only 2 and 3,Only 1 and 3,all of the above,Only 1 and 3,cur,very hard
447,Annie Besant was 1) responsible for starting the Home Rule Movement 2) the founder of the Theosophical Society 3) once the President of the Indian National Congress Select the correct statement using the codes given below.,only 1,Only 2 and 3,Only 1 and 3,all,Only 1 and 3,cur,very hard
448,Which one of following rivers does not pass through the Himachal Pradesh?,Bias,Ravi,Yamuna,Shyonk,Shyonk,cur,very hard
449,Koyana River is tributary of :,Krishna,Narmada,Cauvery,Sabarmati,Krishna,cur,very hard
450,In which of following state/ states mangrove forest is found?,Odisha,West Bengal,"Odisha, West Bengal and Tamilnadu",Tamil nadu,"Odisha, West Bengal and Tamilnadu",cur,very hard
451,Identify the protected area rich In biodiversity situated near the Kolleru lake & in between two rivers than drains in bay of Bengal,Guntur�� ��� ��� ��� ��� ��� �,Gudivada,Elluru,Bhimavaram,Gudivada,cur,very hard
452,Tungrabhadra and Krishna river merge near which mountain range,Nallamalai hills,Erramalla hills,Velikonda hills,Ralkonda Hills,Erramalla hills,cur,very hard
453,The important site of Tiger Reserve and protected area �Bor� is situated between which two rivers,Purna & Wardha,Eardha & Wunna,Wardha & Andhari,Purna & Bembla,Eardha & Wunna,cur,very hard
454,The Constitution of India does not guarantee the Right to,Life and Liberty,Property,Equality,Education,Property,cur,very hard
455,The provisions related to the High Court of the newly created State are mentioned in,Constitution of India,The Respective State Act,The Report Submitted to the Parliament,None of the Above,The Respective State Act,cur,very hard
456,The Governor of the state can remove which of the following,Chief Justice of the High Court,The Chairperson of the State Public Service Commission,The Chairperson of the State Finance Commission,None of the Above,None of the Above,cur,very hard
457,Which of the following is/are comes under original jurisdiction of High Court,Disputes relating to the election of members of Parliament and State legislature,The disputes between the two or more States,both,none,Disputes relating to the election of members of Parliament and State legislature,cur,very hard
458,Our first five year plan primary focused on,Agricultural Sector,Manufacturing Sector,Defense up gradation,Service sector,Agricultural Sector,cur,very hard
459,Which of following statement is true about charged expenditure?,Expenditure which requires voting of parliament,Expenditure which does not require voting of parliament,Expenditure which is incurred on productive activities,Expenditure which is incurred on social welfare schemes,Expenditure which does not require voting of parliament,cur,very hard
460,Which sector constitutes the maximum share in GDP of India,Primary Sector,Secondary Sector,Tertiary Sector,none,Tertiary Sector,cur,very hard
461,"Base Effect remains in news, which of following statement is true about Base Effect:",It is Change in numbers of items for which price quotations are taken,It measures Impact of fuel items on inflation,Impact of the rise in price level in the previous year over the rise in price level in the current year,Problem due to miscalculation,Impact of the rise in price level in the previous year over the rise in price level in the current year,cur,very hard
462,"One year ago Jaya was four times as old as her daughter Nikitha. Six years hence, Mrs.Jaya's age will exceed her daughter's age by 9 years. The ratio of the present ages of Jaya and her daughter is :",9:02,11:03,12:05,13:04,13:04,CAT,Easy
463,"Five years ago, the total of the ages of a father and his son was 40 years. The ratio of their present ages is�4 : 1. What is the present age of the father ?",30,25,20,None,None,CAT,Easy
464,A father is twice as old as his son. 20 years ago the age of the father was 12 times the age of the son. The present age of the father is :,44,32,22,45,44,CAT,Easy
465,Ajay got married 9 years ago . Today his age is 1 3 time of his age atthe time of his marriage . Find his present age.,30,28,36,29,36,CAT,Easy
466,"The sum ages of kartik and his father is 78 years . 6 years hence ,father�s age will be twice of kartik�s age . Find present age of father.",60,58,46,54,60,CAT,Easy
467,"Two pipes P and Q can fill a cistern in 37 minutes and 45 minutes respectively. Both pipes are opened. The cistern will be filled in just half an hour, if the Q is turned off after:",9,8,6,5,9,CAT,Easy
468,"Pipes P and Q can fill a tank in 5 and 6 hours respectively. Pipe R can empty it in 12 hours. If all the three pipes are opened together, then the tank will be filled in:",4  5/13,3  5/13,1  9/17,3  9/17,1  9/17,CAT,Easy
469,A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled by the third pipe alone. The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe. The time required by the first pipe is:,11,15,4,18,4,CAT,Easy
470,"Three pipes P, Q and R can fill a tank from empty to full in 30 minutes, 20 minutes, and 10 minutes respectively. When the tank is empty, all the three pipes are opened. P, Q and R discharge chemical solutions M,L and N respectively. What is the proportion of the solution N in the liquid in the tank after 3 minutes?",13-Feb,5-Mar,11-Jun,15-Jul,11-Jun,CAT,Easy
471,"A person earns 15% on investment but loses 10% on another investment. If the ratio of the two investments be 3:5, what is the gain or loss on the two investments taken together in terms of percentage?",0.65%,0.55%,0.63%,0.35%,0.55%,CAT,Easy
472,"A person, by selling an article at three-fourths of the list price incurs a loss of 20%. Find the profit percentage if he sells at the list price?",7.65%,6.66%,5.45%,6.87%,6.66%,CAT,Easy
473,"An uneducated retailer marks all his goods at 50% above the cost price and thinking that he will still make 25% profit, offers a discount of 25% on the marked price. What is his actual profit on the sales?",12%,14%,10.45%,12.50%,12.50%,CAT,Easy
474,30% loss on cost price in what percent loss on selling price?,42.85%,40%,50.45%,52.50%,42.85%,CAT,Easy
475,"Let M be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in M is:",4,2,7,1,4,CAT,Easy
476,"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:",78,56,109,111,111,CAT,Easy
477,Find the remainder when 231 is divided by 5.,3,1,4,2,3,CAT,Easy
478,"The LCM of two number is 4800 and their HCF is 160. If one number is 480, then the second number is",1300,1400,1600,1800,1600,CAT,Easy
479,"If each of the three non zero numbers L , M , and N is divisible by 3, then LMN must be divisible by which one of the following the numbers?",81,27,36,121,36,CAT,Easy
480,"P and Q are playing mathematical puzzles. P asks Q ""which whole numbers, greater than one, can divide all the nine three digit numbers 111,222,333,444,555,666, 777,888 and 999?"" Q immediately gave the desired answer. It was","3,9,37","3,37,119","8,37,111","3,37,111","3,37,111",CAT,Easy
481,2. A quadratic function f(x) attains a maximum of 3 at x = 1. The value of the function at x = 0 is 1. What is the value of f(x) at x = 10?,�119,-159,-110,-180,-110,CAT,Easy
482,3. Two circles with centres P and Q cut each other at two distinct points A and B. The circles have the same radii and neither P nor Q falls within the intersection of the circles. What is the smallest range that includes all possible values of the angle AQP in degrees?,Between 0 and 90,Between 0 and 30,Between 0 and 60,Between 0 and 75,Between 0 and 60,CAT,Easy
483,"The astrophysicist argues that our books and films about interstellar space travel are a form of mass _________, and that only a miracle on a scale heretofore unseen could allow a human being to voyage to even the closest star in another solar system.",innovation,delusion,dementia,catastrophe,delusion,CAT,Easy
484,"On an aptitude test in 1986, an argument posited that the possibility of conducting banking transactions from home was as likely as flying cars, an argument that today sounds ___________.",prescient,paradoxical,preposterous,pithy,preposterous,CAT,Easy
485,"Napoleon is of course most famous for his military triumphs, but his innovative code of law had a subtler but more _____ impact, as its principles strongly influenced legal codes well into the 20th century.",renowned,enduring,fleeting,insidious,enduring,CAT,Easy
486,"Many ___________ people feared for the life of Ronald Reagan because since 1840, every president elected in a year ending in zero had died in office.",knowledgeable,mathematical,superstitious,addled,superstitious,CAT,Easy
487,"Every generation is accused of slacking by the preceding ones, before in turn calling their own progeny lackadaisical; such is the _________ of life.",irony,circle,comedy,amusing,circle,CAT,Easy
488,"Each sentence has pairs of words/phrases that are italicised and highlighted. From the italicised and highlighted word(s)/phrase(s), select the most appropriate word(s)/phrase(s) to form correct sentences. Then, from the options given, choose the best one.(i) While evacuating people from the flood ravaged areas precedence (A) / precedent (B) was given to women and children. (ii) The best way to reach the summit is by trekking up the hill, alternately (A) / alternatively (B) you can go on horse back (iii) His impeccable manners perfectly complimented (A) / complemented (B) his polished looks and fashionable attire. (iv) There has been a noticeable (A) / notable (B) improvement in Tarun's academic performance lately. (v) You must be discreet (A) / discrete (B) about your plans",AAABB,BBABB,ABBAB,ABAAB,,CAT,Easy
489,Jason deposits money at a bank on a Tuesday and returns to the bank 100 days later to withdraw the money. On what day of the week did Jason withdraw the money from the bank?,Monday,Tuesday,Thursday,Friday,Thursday,CAT,Easy
490,"x and h are both positive integers. When x is divided by 7, the quotient is h with a remainder of 3. Which of the following could be the value of x?",50,52,45,46,52,CAT,Easy
491,A man travels for 6 hours at a rate of 50 miles per hour. His return trip takes him 7 2 1 hours. What is his average speed for the whole trip?,44.4,45,46.8,48.2,44.4,CAT,Easy
492,"Last season, Arjun�s tennis record was 3 matches won for every 2 he lost. If he played 30 matches last season, how many did he win?",10,12,18,20,18,CAT,Easy
493,"Six bells commence tolling together and toll at intervals of 2,4,6,8,10 and 12 seconds respectively. In 30 minutes, how many times do they toll together?",16,12,22,23,16,CAT,Medium
494,Thesum of ages of Sarvesh and his father is 46 years. 3 years back father�s age was4 times more thanSarvesh�s age . Find present age ofSarvesh.,11,12,8,16,11,CAT,Medium
495,"In 30 years, age of Kartik becomes 3 times of his present age . What is hispresent age?",15,18,12,16,15,CAT,Medium
496,Sumof present ages of P and Q is 60 years. 5 years hence their ages will be in theratio of 3:4 . Find P�s present age.,20,25,26,28,25,CAT,Medium
497,"At the time of marriage , a man was 6 years elder to his wife. 12 years aftertheir marriage , his age is 6/5 times the age of his wife. What was wife�s ageat the time of marriage ?",20,22,16,18,18,CAT,Medium
498,Aand B are 3 years and 2 years old respectively . Their father is 40 years old.After how many years father�s age would be twice of combined age of A and B ?,8,12,11,10,10,CAT,Medium
499,"A boy writes all the numbers from 100 to 999. The number of zeroes that he uses is 'a', the number of 5's that he uses is 'b' and the number of 8's he uses is 'c'. What is the value of b c-a?",380,480,180,280,380,CAT,Medium
500,Find the remainder when 2^89 is divided by 89?,3,2,4,5,2,CAT,Medium
501,What number should be subtracted from x^3+4x^2+7x + 12 if it is to be perfectly divisible by x + 3?,42,41,40,39,42,CAT,Medium
502,Find the unit's digit in 264^102 + 264^103,0,1,2,3,0,CAT,Medium
503,"Let n be the number of different 5 digit numbers, divisible by 4 with the digits 1, 2, 3, 4, 5 and 6, no digit being repeated in the numbers. What is the value of n?",182,172,192,None,192,CAT,Medium
504,Find the total number of distinct vehicle numbers that can be formed using two letters followed by two numbers. Letters need to be distinct.,71840,64050,62200,65000,65000,CAT,Medium
505,What is the value of 1 x 1!+2 x 2!+3!x3!+�. n x n!; where n! means n factorial or n(n1)(n2)...,(n+1)! / n(n1),(n+1)! - 1!,(n+1)n!,n(n1)(n1)!,n(n1)(n1)!,CAT,Medium
506,How many four letter distinct initials can be formed using the alphabets of English language such that the last of the four words is always a consonant?,26^3 * 25,26*25*24*23,25*24*23*22,26^3*21,26^3*21,CAT,Medium
507,"In how many ways can seven friends be seated in a row having 35 seats, such that no two friends occupy adjacent seats?",28C7,28P7,29P7,29C7,29P7,CAT,Medium
508,How much water must be added to 60 litres of milk at 1.5 litres for Rs. 20 So as to have a mixture worth Rs.10 2/3 a litre? Answer is lts,15,12,10,18,15,CAT,Medium
509,Two vessels A and B contain milk and water mixed in the ratio 5:2 and 7:6 respectively.Find the ratio in which these mixture be mixed to obtain a new mixture in vessel c containing milk and water in the ratio 8:5?,7:09,1:07,3:08,2:09,7:09,CAT,Medium
510,How many kilograms of coffee costing Rs. 9 per kg must be mixed with 27 kg of coffee costing Rs.7 per kg so that there may be gain of 10% by selling the mixture at Rs.9.24 per kg?,60,50,63,77,63,CAT,Medium
511,"P can contains a mixture of two liquids P and Q in the ratio 7:5 when 9 litres of mixture are drawn off and the can is filled with Q, the ratio of P and Q becomes 7:9. How many litres of liquid P was contained by the can initially?",21,28,45,36,21,CAT,Medium
512,A boy travelled a distance of 90Km in 9 hours partly on foot at 8 kmph and partly on bicycle at 17 kmph. Find the distance travelled on foot.,46,58,56,62,56,CAT,Medium
513,A train 110 meters long is running with a speed of 60 km/hr. In what time will it pass a boy who is running at 6 km/hr in the direction opposite to that in which the train is going?,4,3,6,5,6,CAT,Medium
514,"Find the length of the platform, If a train passes a station platform in 36 seconds and a boy standing on the platform in 20 seconds and the speed of the train is 54 km/hr. Answer in m.",240,130,270,245,240,CAT,Medium
515,"Find the length of the train, If A train takes 18 seconds to pass completely through a station 162 m long and 15 seconds through another station 120 m long.",80,90,110,95,90,CAT,Medium
516,A train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds. Its length is :,120,150,130,170,150,CAT,Medium
517,A train crosses a platform 100 m long in 60 seconds at a speed of 45 km/hr. The time taken by the train to cross an electric pole is :,51,52,53,54,52,CAT,Medium
518,"Find the length of the train, If a train running at the speed of 60 km/hr crosses a pole in 9 seconds.",120,110,100,150,150,CAT,Medium
519,"Find the speed of the train, If a train 132 m long pass a pole in 6 seconds. Answer in kph",77.2,79.6,80.2,79.2,79.2,CAT,Medium
520,"When a student weighing 45 kgs left a class, the average weight of the remaining 59 students increased by 200g. What is the average weight of the remaining 59 students?",76,59,57,52.2,57,CAT,Medium
521,The difference between two angles of a triangle is 24o. The average of the same two angles is 54o.Which one of the following is the value of the greatest angle of the triangle?,72,45,66,60,72,CAT,Medium
522,"After many years of war and bloodshed, some became _________ suffering, casting a blind eye to scenes of misery around them.",exempted from,dominant over,maudlin over,inured to,inured to,CAT,Medium
523,"After a brief initial struggle over power, the group elected a leader and _________ into a surprisingly harmonious team.",fractured,coalesced,amortized,syncopated,coalesced,CAT,Medium
524,"The director inserted deliberate _________ into the play�for example, Hamlet typed his letters to Ophelia on a laptop.",platitudes,paradigms,neologisms,anachronisms,anachronisms,CAT,Medium
525,The ancient tablet presents a true _________: none have been able to decode it.,stanza,gem,incentive,enigma,enigma,CAT,Medium
526,"Just as reminiscences of a childhood spent in rural Mexico color the poet�s work, so too does the experience of war _________ her poetry.",mimic,inform,invalidate,defer,inform,CAT,Medium
527,"During the German occupation of France, the draconian measures of the occupiers met armed resistance from civilian _________, inspired by desperate conditions to fight in their own streets.",writers,fighters,politicians,mercenaries,fighters,CAT,Medium
528,Representative government arose in part from dissatisfaction with too many monarchs making _________ decisions without regard for precedents.,considered,malicious,erratic,pessimistic,erratic,CAT,Medium
529,"Because the Lewis and Clark expedition through the West was conceived primarily as a mapping project, government officials were _________ by the wealth of information on a myriad of topics that the explorers gathered.",flabbergasted,crushed,bored,aggravated,flabbergasted,CAT,Medium
530,Only by ignoring Afghanistan�s long history as a military quagmire could pundits pontificate that fresh infusions of men and material would lead to _________ victory.,pyrrhic,swift,ephemeral,fleeting,swift,CAT,Medium
531,"Geneticists find Iceland a living laboratory for the study of _________ because virtually all of its current 300,000 citizens descend from less than a thousand Icelanders who survived the medieval Black Death.",diversity,therapy,history,revivification,diversity,CAT,Medium
532,"Given the influx of information via social media, the only way that a person can function effectively is to _________, to metaphorically separate the wheat from the chaff.",delete,triage,respond,requite,triage,CAT,Medium
533,"In the 19th century, Thomas Carlyle called economics �the dismal science,� in part because of Malthus�s theory that population growth would outpace our natural resources, causing widespread _________.",dearth,rapture,debauchery,pulchritude,dearth,CAT,Medium
534,A jogger running at 9km/h alongside a railway track is 40 m ahead of the engine of a 120 m long train running at 45 km/h in the same direction. In how much time will thetrain pass the jogger?,52sec,22sec,26sec,36sec,36sec,CAT,Hard
535,A milk vendor has 2 cans of milk .The first contains 25% water and the rest milk.The second contains 50% water. How much milk should he mix from each of thecontainer so as to get 12 litres of milk such that the ratio of water to milk is3:5?,1l,6l,5l,7l,6l,CAT,Hard
536,"Find the value of x, If a sample of x litres from a container having a 60 litre mixture of milk and water containing milk and water in the ratio of 2 : 3 is replaced with pure milk so that the container will have milk and water in equal proportions.",30l,5l,6l,10l,10l,CAT,Hard
537,"In what ratio must a boy mix three kinds of coffee costing him Rs 1.20,Rs 1.44 and Rs 1.74 per Kg so that the mixture may be worth Rs 1.41 per Kg?",11:45:07,0.511886574,27:23:06,25:45:08,0.511886574,CAT,Hard
538,"A20 litre mixture of milk and water contains milk and water in the ratio 3: 2.10 litres of the mixture is removed and replaced with pure milk and theoperation is repeated once more. At the end of the two removals andreplacement, what is the ratio of milk and water in the resultant mixture?",9:01,5:03,3:17,17:03,9:01,CAT,Hard
539,"In what ratio must a person mix three kinds of tea costing Rs.60/kg, Rs.75/kg and Rs.100 /kg so that the resultant mixture when sold at Rs.96/kg yields a profit of 20%?",1:02:04,1:04:02,3:07:06,None,1:04:02,CAT,Hard
540,"How many words of 4 consonants and 3 vowels can be made from 12 consonants and 4 vowels, if all the letters are different?",14C4*8C3*7!,15C4*7!,12C4*4C3,12C4*4C3*7!,12C4*4C3*7!,CAT,Hard
541,"There are five comics numbered from 1 to 5. In how many ways can they be arranged, so that part-1 and part-3 are never together?",72,56,81,45,72,CAT,Hard
542,How many factors of 25 x 36 x 52 are perfect squares?,21,24,45,32,24,CAT,Hard
543,Findthe number of ways in which 8064 can be resolved as the product of two factors?,12,14,24,19,24,CAT,Hard
544,"Thereare total 12 ""TRUE"" or ""FALSE"" questions. In how many ways these questions can be answered ?",512,406,2048,1024,406,CAT,Hard
545,"Three gold coins of weight 780gm, 840gm and 960gm are cut into small pieces, all of which have the equal weight. Each piece must be heavy as possible. If one such piece is shared by two persons, then how many persons are needed to give all the pieces of gold coins?",320,100,86,65,86,CAT,Hard
546,Find the remainder when P is divided by 9?,8,2,3,4,8,CAT,Hard
547,The largest number among the following that will perfectly divide 101100�1 is:,10000,100000,1000,100,10000,CAT,Hard
548,Theremainder when 7^84 is divided by 342 is,348,1,230,114,1,CAT,Hard
549,P�sage is 50 years and Q�s age is 18 years.In how many years will P be twice as old as Q ?,20,12,14,18,14,CAT,Hard
550,"Theages of A and B are in the ratio of 8:5 . If the sum of their ages is 39 years,what will the ratio of their ages after 9 years ?",10:08,11:06,11:08,10:06,11:08,CAT,Hard
551,"Sumof present ages of A,B and C is 72 years. If 4 years ago , the ratio of theirages were 1:2:3 respectively, find A�s present age.",18,14,10,20,14,CAT,Hard
552,"The greatest number of four digits which isdivisible by 15, 25, 40 and 75 is:",9600,8500,8875,8740,9600,CAT,Hard
553,"Theleast multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15and 18 is:",300,364,250,420,364,CAT,Hard
554,"Even after reducing the marked price of a transistor by Rs. 32, a shopkeeper makes a profit of 15%. If the cost price be Rs.320, what percentage of profit would he have made if he had sold the transistor at the marked price?",25,120,30,20,25,CAT,Hard
555,"Find the C.P of the book,If a book is sold at 5% gain instead of 5% loss,the seller gets Rs 6.72 more.",148.81,120.25,150.41,160.1,148.81,CAT,Hard
556,"A shopkeeper sells a badminton racket, whose marked price is Rs. 30, at a discount of 15% and gives a shuttle cock costing Rs. 1.50 free with each racket. Even then he makes a profit of 20%. His cost price per racket is :",37,50,65,20,20,CAT,Hard
557,"Two pipes P and Q together can fill a cistern in 4 hours. Had they been opened separately, then Q would have taken 6 hours more than P to fill the cistern. How much time will be taken by P to fill the cistern separately?",6h,5h,20h,10h,6h,CAT,Hard
558,"One pipe can fill a tank three times as fast as another pipe. If together the two pipes can fill the tank in 36 minutes, then the slower pipe alone will be able to fill the tank in:",105m,111m,144m,64m,144m,CAT,Hard
559,"Three taps P, Q and R can fill a tank in 12, 15 and 20 hours respectively. If P is open all the time and Q and R are open for one hour each alternately, the tank will be full in:",12h,3h,7h,5h,7h,CAT,Hard
560,"The Fed knows that a certain level of financial stability can be attained by lowering interest rates, yet if it overuses this power, it risks losing its most reliable means of _________ a crisis.",assuaging,interring,exacerbating,compounding,assuaging,CAT,Hard
561,"Even though Mariposa loved taking on roles that involved a lot of lines, she was excited to be playing a more __________ character, which would require her to focus more on gesture and expression.",mute,dejected,dramatic,curt,curt,CAT,Hard
562,"Most physics textbooks are dense and abstruse, whereas Richard Feynman can describe the most recondite mysteries with impressive __________.",panache,lucidity,prowess,sagacity,lucidity,CAT,Hard
563,"The beauty queen�s mother could not believe her daughter had been disqualified for hitting one of the judges with her baton, and she would not be __________ by the official�s offer of a free steak dinner.",placated,pleased,mollified,deterred,mollified,CAT,Hard
564,"Though Hamlet is famous for being _________, he still manages to go on something of a killing spree in Shakespeare�s play, proving that he is hardly paralyzed with depression.",violent,morose,melancholy,indecisive,morose,CAT,Hard
565,The representative�s violent ascension to prominence began with a __________ attack on the comparatively conciliatory leaders of his own party.,biased,savage,imperious,partisan,savage,CAT,Hard
566,"A single short story can suggest a desired response from the reader. It is a difficult task, though, to create a world within a single short story and then repeat this world again in other stories while maintaining a consistent flow of ideas. Many authors prefer to use the same setting, indeed, often the same characters in each story. Isabel Allende�s Diez Cuentos� de Eva 5 Luna comes to mind. In these stories, Allende uses the small town of Agua Santa as the setting for the entire collection. Woman Hollering Creek is a collection of short stories by Sandra Cisneros. Rather than using the same characters or setting throughout the collection, Cisneros takes a different approach to relating her stories to one another. Much of the burden, in fact, is placed on 10 the reader, for the characters change each time, as does the setting. Furthermore, while the characters are largely Mexican American immigrant women, each character presents a distinct style and literary voice. What these works have in common is more intuitive; mood, circumstance, time, tone, and imagery all play a role in creating the world in which the stories take place. 63. The author of the passage would be most likely to agree with which of the following statements?",Short story collections depend on the reader to find the common thread that ties the stories together.,Isabel Allende uses the same setting for the majority of her fiction.,It is possible to create a coherent short story collection if the stories take place in vastly different times and places.,Intuition is a more important aspect of Sandra Cisneros�s writing than the characters or the setting.,It is possible to create a coherent short story collection if the stories take place in vastly different times and places.,CAT,Hard
567,"A single short story can suggest a desired response from the reader. It is a difficult task, though, to create a world within a single short story and then repeat this world again in other stories while maintaining a consistent flow of ideas. Many authors prefer to use the same setting, indeed, often the same characters in each story. Isabel Allende�s Diez Cuentos� de Eva 5 Luna comes to mind. In these stories, Allende uses the small town of Agua Santa as the setting for the entire collection. Woman Hollering Creek is a collection of short stories by Sandra Cisneros. Rather than using the same characters or setting throughout the collection, Cisneros takes a different approach to relating her stories to one another. Much of the burden, in fact, is placed on 10 the reader, for the characters change each time, as does the setting. Furthermore, while the characters are largely Mexican American immigrant women, each character presents a distinct style and literary voice. What these works have in common is more intuitive; mood, circumstance, time, tone, and imagery all play a role in creating the world in which the stories take place. 2)According to the passage, which of the following characterizes both short stories by Isabel Allende and short stories by Sandra Cisneros?",Similarities in tone,Similarities in time,Similarities in setting,none,none,CAT,Hard
568,"Scottish economist Adam Smith�s The Wealth of Nations heralded�or caused�the market-based economic system that has increasingly become the norm since the book�s publication in 1776. Some say that Smith�s magnum opus was to economics as Newton�s Principia Mathematica was to physics or as Darwin�s On the Origin of Species was for biology. 5 Certainly the book made its impact in the early United States. 1776 predates wide usage of the term capitalism, now commonly associated with Smith, and which Smith refers to as a �system of natural liberty.� Smith presented what we today consider Economics 101: supply and demand, and the importance of specialization and the division of labor. He also posited that individuals pursuing their own self-interest could 10 unintentionally create a more just society by so doing�an idea sometimes referred to as the �Invisible Hand.� Even Smith�s critics do not deny the book�s immense influence. Murray Rothbard levels the criticism that The Wealth of Nations, in fact, eclipsed public knowledge of all economists�better ones, he says� before Smith. Consider each of the answer choices separately and indicate all that apply. 65. Which of the following statements is not in contradiction with the opinions of Murray Rothbard as expressed in the passage?",Smith was possibly the third best economist of all time.,Adam Smith was not particularly influential.,The Wealth of Nations should not have been as influential as it was.,"A market in which there are more buyers than sellers, thus forcing the price of goods upwards.",Smith was possibly the third best economist of all time.,CAT,Hard
